ninsee,commune_area,building_Height_m,Area_Building_M2,Area_Impermeable_Mineral_M2,Area_Permeable_Bare_Soil,Area_Tree_Vegetation_M2,Area_Non_Tree_Vegetation_M2,Perc_Building,Perc_Impermeable_Mineral,Perc_Permeable_Bare_Soil,Perc_Tree_Vegetation,Perc_Non_Tree_Vegetation,Land_Comp_Missing,transport_autoroute,transport_départementale,transport_nationale,transport_autres_routes,Aiport_Distance,conso_totale_inconnu,conso_totale_residentiel,conso_totale_tertiaire,nb_sites_inconnu,nb_sites_residentiel,nb_sites_tertiaire,population_2016,Mortality_Rate_2016_2022,Natality_Rate_2016_2022,Pop_Under_15_29,Pop_30_64,Pop_Over64,Aging_Index_2016,Youth_Index_2016,Economic_Dependence,Active_Sector_Business_Industry,Active_Sector_Business_Agriculture,Active_Sector_Business_Construction,Active_Sector_Business_Transport,Active_Sector_Business_Public_Sector,Active_Jobs_Agriculture,Active_Jobs_Industry,Active_Jobs_Construction,Active_Jobs_Transport,Active_Jobs_Public_Sector,Unemployed_15_64,Unemployment_Rate_15_64,Working_Age_People,Labor_Market_Participants,Labor_Market_Inactive,Labor_Market_Employed,Number_Jobs,Housing_Occupancy_Standard,Housing_Occupied_Overcrowded,Housing_Occupied_Undercrowded,Housing_Occupied_Undercrowded_Severe,Housing_Occupied_Undercrowded_Very_Severe,Home_to_Work_Car_Commute,Median_Disposible_Income_2021,Home_to_Work_Public_Transport,Home_to_Work_Two_Wheel,Gaz_Total_2017,Gaz_Residential_2017,Gaz_Tertiary_2017,Eletricity_Total_2017,Electricity_Electricity_2017,GHG_Tertiary_2021,GHG_Agriculture_2021,GHG_Transport_Other_2021,GHG_Trash_2021,GHG_Energy_2021,GHG_Industry_2021,GHG_Residential_2021,GHG_Road_2021
77001,0.7693797869577608,-1.3980186116058084,-0.1508301716507566,-0.0226360133578888,0.2431027761943232,0.7456348277074738,1.2559762527100196,0.008962785432998999,0.03476581480479979,0.07403607962092451,0.34715437139230687,0.5145044952974018,0.0,2.002764146847863,0.501911452874891,-0.4385996665274776,-1.7951554382520276,0.8984737712810108,-0.025462310690535797,0.05739128575274729,-0.1505743968126826,-0.1865218681888102,-0.1491945469920039,-0.1630608374262084,-0.2542068692712227,-0.4755305786707908,-0.918338035399358,-0.3211865112719173,-0.251023474405609,-0.1623487142972489,0.3035682025915295,-0.2607558070533021,-0.6744683127267459,0.0902160680021487,1.362823227737908,-0.1224063389392257,-0.146193108096947,-0.0006365239815500454,0.9761527657230602,-0.4309315590405598,-0.3043483849308235,-0.1948084881501003,-0.3396488561581044,-0.2923921209356644,-0.5899173971908929,-0.225971316320257,-0.2083647798264445,-0.2804091944446505,-0.1985567684195447,-0.23553381874349,-0.8158733512641361,-0.1087996260051236,-1.3905037752925598,0.588452613551752,1.039708485965425,0.8207427214563496,0.8581015064412839,-1.0038528587827078,0.029027084057446,-0.4414298018219888,-0.3414795766517805,-0.49712986096206546,-0.441468635664673,-0.2078493861162835,-0.4691327454397171,0.8230463157838582,-0.9912515173161106,-0.7226243849249939,-0.4264729011767902,-0.5024151687125943,-0.4949956684069435,0.8068758832212121
77002,1.5373458900024854,-1.0966343598596624,-0.2656195756869881,-0.143089948406272,0.6317806558552926,1.55792837677015,1.8316920557992529,0.0044800625848751,0.0181596989365147,0.07856722460176968,0.3998376884878354,0.4962633627951334,0.0,-0.5016577015515838,0.607139961586516,-0.4385996665274776,0.3581561057229794,1.1457069646495937,-1.4007873366950712,-0.4772882475266886,-0.1669245045867067,-1.342996958696088,-0.4583326276678895,-0.1194648080799329,-0.4653293947995734,1.869507236695759,0.5340677113574739,-0.5562817406702598,-0.4615448829036841,-0.1484022507059114,1.0288913120447476,-1.0597855872289033,0.8615508348447741,-0.1448796953530957,1.362823227737908,0.1241184629443608,-0.3295520274736397,-0.0006365239815500454,1.082253194343193,-0.3498051015671128,0.3963642637645456,-0.3661884141080058,-0.0168329494817747,-0.4943214765582064,-0.252845217916923,-0.4911619858395618,-0.5010570725428747,-0.4503987098183169,-0.4991840968222937,-0.1483888277019231,-0.2636152253759923,-0.1087996260051236,-0.6971751493069449,-0.214339517148785,0.8752145904748837,0.957819342254013,-0.2212691647353361,-1.575399315663878,-1.4679150118392492,-0.38106075505638,-0.4974945898664669,-0.2586981286994511,-0.3810982653806353,-0.3346703212940101,-0.2449691780946262,1.537257646491285,-0.9912515173161106,0.3330149933318145,-0.4264729011767902,0.0176289305624607,-0.4657734135960134,-0.1099662612357629
77003,0.6767325082908305,0.3870410957727168,-2.315409735324423,-2.4159227749398458,-1.4040507068678407,-2.5192376808956887,-1.6337417844478397,4.093346689160171e-06,7.147889263592333e-05,0.001721737268823631,0.0008256375167690067,0.011375370580822164,0.0,-0.5016577015515838,0.4174002454755129,-0.4385996665274776,-1.7951554382520276,1.1249680613840374,-1.4007873366950712,-0.8782728791073867,-0.8350639597347264,-1.342996958696088,-0.9498090097628028,-0.5515720616825188,-1.0466012290388371,0.9042817149953372,-0.8164611424667895,-1.1139287462185874,-0.9473837929229254,-0.9239509719001596,0.7225274308414454,-1.0597855872289033,-1.5181275811815953,-0.5106654503170246,0.0969847294049133,-0.774001278755902,-1.0630126968619946,-0.573730025192222,-0.0599930628341643,-1.215019942429836,-0.1020806511521374,-1.3327252910251113,-1.0215043104212909,-1.209286190090728,-1.5058854401294617,-0.9660014447953972,-0.9279156769225326,-1.095344255099711,-0.902279744323829,-0.8488735749606756,-1.0612470697715115,-1.5459434803743226,-0.0940518177874087,0.7412868782488093,0.8338093742632895,0.1777385395565144,0.2729731707489861,-0.883761839907198,-1.4679150118392492,-1.1410314238006392,-1.0809287097934144,-1.1555638878723828,-1.1410844738048551,-0.9821096024551504,-1.179044264487639,0.867702575524192,0.5543228066129251,-0.7226243849249939,-0.4264729011767902,-0.4943952204086533,-1.1990308238661131,-0.6735203824911684
77004,0.1892177633518223,0.013909424511004298,-0.6915113742495158,-0.6631602126604683,0.0592230965610212,-0.3825904776648022,1.1348529002137924,0.004614120773894115,0.02003128587902836,0.08183809156231803,0.16369645806487654,0.6841668305333712,0.0,-0.5016577015515838,0.1665962947951159,-0.4385996665274776,0.1163183647682929,0.4579330111609683,-1.4007873366950712,-1.108210907385737,-0.9752162097473815,-1.342996958696088,-1.2091948510288422,-0.924871551618053,-1.1984764682544622,1.1282391954572026,2.7129788888797397,-1.277294436851353,-1.05478344364399,-1.2479927643824562,1.0932459772601657,-1.969279978750344,-0.0562162226481389,-1.2425327191141122,0.7069829672122564,-0.5417864900520791,-0.618043792483724,-0.9198840673580048,0.6561201322202167,-1.215019942429836,-0.6770778955239634,-0.8237214125293139,-1.3440373386368445,-1.516972393111989,-1.692131258186383,-1.146104944926539,-1.194994297126799,-0.983596870407042,-1.1651583274770194,-1.0954951496299412,-1.4832879222833693,-1.5459434803743226,-0.199611650763227,0.314083651087656,1.2544659410080676,0.3517437027816544,0.2729731707489861,-0.0559954736912396,-1.4679150118392492,-1.028671881473634,-1.214297023720728,-1.064036581467806,-1.0287227858125267,-0.857828029184785,-1.2516035473881055,0.6985029990588308,-0.9912515173161106,-0.7226243849249939,2.1085409077489894,-0.4038207520475637,-1.284028366343526,-1.381300253688465
77005,0.8976453629626622,0.017765822242587603,0.0577335143936973,0.2750238228108703,0.7525732990173902,1.0865146563414545,0.7335949875483725,0.01169452353516931,0.046292667028581036,0.1378522099552839,0.42221928310831913,0.2974253385513066,0.0,-0.5016577015515838,1.3464302895554203,-0.4385996665274776,-0.2196990651947989,-0.8174428917236455,-0.0560265221681564,0.3420556084731632,0.8448762743855154,-0.035730729604014,0.3193635622617222,0.3397203619837268,0.3664259775778047,0.4434991355747987,-0.3947521859552972,0.3565560372303813,0.328835784093824,0.25485008208164,-0.7557088117299481,0.7818146555262665,-0.5155865046975252,0.0902160680021487,0.0969847294049133,0.3861956384059021,0.3077465563648392,0.1188577394394643,-0.0599930628341643,0.0862921709549099,0.4329724436744644,0.2465376350565076,0.3701876424037176,0.2939356881689579,-0.5548276182459919,0.3798724380641762,0.4066723087717583,0.2868637310103961,0.4196377506446633,0.2137216325742273,0.037300089774506,0.4057803694673608,-0.2297706227086515,-0.2017945108180211,0.2963857550000377,1.1338952494786707,0.4255101399481084,-0.8380528239159232,-0.2363580959638802,0.4502180247623399,0.345919914394072,0.663778728422918,0.4502003517692372,0.5978328959137594,0.4259193641759198,-0.0347840461645188,1.0427140378815598,1.3922261222295966,-0.4264729011767902,0.1614204662522747,0.3930118681173397,-0.2826032822824941
77006,0.9752172628933636,-1.080802021740205,-0.2886580171973538,-0.0063208735629018,-0.3941329652033901,2.0222838805507712,0.1703469504437637,0.006129042413888897,0.031066736083374735,0.021636324771293403,0.78021877166141,0.15918828148001296,0.0,2.006623068029566,0.4909138399325,-0.4385996665274776,0.5273875963411893,0.621811853919396,0.029582476707642802,-0.1963208689969912,-0.12343945787965,-0.2889344852161333,-0.3054528145673835,-0.3778128282051182,-0.3295712214135922,3.3321535704182645,-0.8502155988822496,-0.4095167190414319,-0.3626791885775012,0.067951289322341,1.30912467224824,-1.12758014770848,0.9944909036959074,-0.5106654503170246,0.7069829672122564,-0.2338363044252556,-0.0884815866492489,0.1188577394394643,-0.0599930628341643,-0.1746029946205392,-0.2735011812016429,-0.2412748892666934,0.2587916684241658,-0.376456301139964,-0.252845217916923,-0.3689871154807499,-0.3778288335489852,-0.3329496485250087,-0.3757554363422085,-0.154688256394847,-0.3503897470476267,0.1888678112181619,0.0718383767671672,-1.4672537366500686,1.0630650854928765,0.880301164992646,0.8759459605847852,-1.2030357373655818,0.8429691418743751,-0.3151489286019864,-0.2473048461328777,-0.2649428198726884,-0.3151849760503167,-0.3569530904710655,-0.2065327714111945,-0.0897382757924461,-0.9912515173161106,0.9870322649488222,2.341159039732276,-0.1662980398870413,-0.1991640231443838,1.0129919879422231
77007,-1.469548080071597,-0.76456266706116,-0.9150152623386104,-1.147331646760339,-0.8998703073322387,-0.3524474133330195,-0.5899075826728171,0.009229051943066224,0.02733036255052923,0.03892678222473478,0.5683486552787684,0.3476802027615804,0.0,-0.5016577015515838,-1.437224945832908,-0.4385996665274776,-0.3869637614825257,0.6081360188447081,-1.1113230218228605,-0.9642491249927712,-1.390256734668275,-1.092842909714739,-1.0592327951151062,-1.8773087941499669,-0.9766582637203493,0.5370725139509543,-0.3635306157207282,-0.9011468921368284,-0.9650248252775854,-0.9523984153774586,0.004662190218416,0.2865013166867061,-0.4372629020092384,-1.2425327191141122,0.0969847294049133,-0.5417864900520791,-1.2598755609929413,-1.4774705632857812,0.3877546977733113,-1.215019942429836,-0.5006866516125427,-1.2339843928282652,-1.6388437442326853,-1.273855756976544,-1.5977696698061197,-0.9660014447953972,-0.9594839474409907,-0.970934628882798,-0.9317826458583652,-1.3437793202645691,-0.6108428936161177,-1.5459434803743226,-0.5916424125327238,0.4459607387098214,0.9635564751907711,1.398606092052962,0.2240940314761406,-0.8268147875594956,-1.4679150118392492,-1.2304856882983397,-1.1407686316876455,-1.5904576504364498,-1.2305404094826835,-1.081037045765175,-1.1600352217252068,-0.8356161613797098,-0.9912515173161106,0.3330149933318145,-0.4264729011767902,-0.6898099155197487,-1.1919130480129572,-2.4246581907826017
77008,-0.0613681400820208,-1.3997400117048815,-0.5206191524297941,-0.7047085610684201,-0.2431431717913091,0.5016127940334375,0.2162439913922801,0.007850472306543566,0.0222091207565569,0.057739311628168366,0.4901434616869693,0.335104162084221,0.0,-0.5016577015515838,-0.2197925566042198,-0.4385996665274776,0.1867858060993087,0.3622474413410962,-1.4007873366950712,-0.3740349190077714,-0.6151818300293243,-1.342996958696088,-0.4070653002128407,-0.4156758915417727,-0.1961477709379159,-1.1073605899539616,1.227872439412058,-0.0431613225594311,-0.3300934232279294,-0.49432161303906363,-1.960223222723104,1.96056690742708,1.318283010994456,-1.2425327191141122,0.0969847294049133,-1.1219155237265943,-1.0630126968619946,-0.9198840673580048,0.3877546977733113,-1.215019942429836,-1.1103249907134125,-0.7639917253445048,-0.6915964908270841,0.0924155960909016,1.990144146395888,-0.224343752653814,-0.3273323284466586,0.0240867944742846,-0.3927777902981456,-0.8956279605221155,-0.1575639111132261,0.1888678112181619,0.5695802040000444,-0.0522582153940615,0.103775822204799,-0.5321839482188163,-1.5824589548062649,0.4764115206758205,0.301592308457431,-0.5069279308656661,-0.3490186291964603,-1.3722061083758552,-0.5069681830720161,-0.5966219194823235,-0.3366065481783794,0.0678726004389619,0.9939220678611996,0.9870322649488222,-0.4264729011767902,-1.946082819701264,-0.2308014963247192,-1.318886910729128
77009,,-0.9084813271956944,,,,,,777.0,777.0,777.0,777.0,777.0,1.0,-0.5016577015515838,-0.6712901157462484,-0.4385996665274776,0.0223752141649772,1.4868144223472874,-1.400787336695071,-1.9522072934809664,-0.8530505074314852,-1.342996958696088,-1.843667766126316,-0.8246316433227201,-1.836006197767952,0.0649682497139972,0.4250360159086308,-1.7706017568977193,-1.6797277256691605,-1.4105369988192646,1.6496685891512826,-1.922609675261824,0.7943134771554936,-0.5106654503170246,1.090573642582663,-0.774001278755902,-1.5502279373764534,-2.6567391006501064,0.8399935354583706,-0.8618126168149219,-0.9609425946317116,-0.8940059644288559,-2.321763084940881,-1.896110754959888,-0.9215266255045615,-1.8749758137821904,-1.884556212412734,-1.790475038652825,-1.8665496808836188,-1.016089104880373,0.2051516435981592,-1.5459434803743226,-0.4710260659814322,0.7061543080802771,0.3271668176248918,-0.3562428001448835,-0.5256189835614912,0.3266174754893836,-1.4679150118392492,-1.48559438328368,-1.6200420934792297,-1.6725953063966323,-1.4856536913777978,-1.3630725518737523,-1.6433558521836318,1.0514645254489938,-0.9912515173161106,-0.7226243849249939,-0.4264729011767902,-0.991263121485896,-1.790473191586476,-1.1555406778837705
77010,2.0417058680835667,-0.8281056767991264,-0.0793413678917452,0.5742041770130619,0.7292226004280904,0.6212028487369345,2.883110934234469,0.004567918911206448,0.03185718070355392,0.06556805929034226,0.14044669974755664,0.7409001157115398,0.0,-0.5016577015515838,1.5951082549758633,-0.4385996665274776,0.7741512520408803,0.7477486514005974,-1.4007873366950712,-0.3119760393933049,-0.2043336224846767,-1.342996958696088,-0.4036962505565832,-0.0991479484639198,-0.3941683511347054,-1.048212581503719,-0.0302612782085806,-0.3896108297506803,-0.3926494860268759,-0.5492403301432621,-0.48023577598792,0.3254479363827344,-0.6744683127267459,0.0902160680021487,1.8717028893032688,0.2958289828109469,-0.618043792483724,-0.573730025192222,1.5047032160739118,-0.0904854584406363,0.3963642637645456,-0.0737887764564748,-0.1477353685895901,-0.5331543034877385,-1.079059362880261,-0.362727525051991,-0.3363077928407134,-0.4503987098183169,-0.317741390832647,-0.3662332511990177,-0.1680543796630732,-0.1448691820860821,0.282988980285033,0.217378300063738,0.2283948270728857,1.4079335667943902,-0.1085781502346746,-0.954754372554222,0.4624524827873587,1.7638515029132786,-0.5718545202249625,-0.7731518179185638,1.7638715878218254,1.099045634646175,-0.5960156866136106,1.6992739768235037,0.9418979657999618,0.3330149933318145,-0.4264729011767902,0.9285216998161556,-0.6638262931248601,0.1208536632595599
